Time;Position; Rotation.X; Rotation.Y;FPS; Input;
58207.9405;(-41.8600, 101.5123, -695.7500);257.1000;90.0000;27.3495;;
58207.9735;(-41.8600, 101.5123, -695.7500);255.4000;90.0000;27.5726;;
58208.0065;(-41.8600, 101.5123, -695.7500);254.6000;90.0000;27.7906;;
58208.0405;(-41.8600, 101.5123, -695.7500);254.6000;89.8002;27.9837;;
58208.0735;(-41.8600, 101.5123, -695.7500);257.4000;83.0000;28.1654;;
58208.1065;(-41.8600, 101.5123, -695.7500);265.2000;69.4000;28.3638;;
58208.1415;(-41.8600, 101.5123, -695.7500);272.5000;57.7000;28.5253;;
58208.1735;(-41.8600, 101.5123, -695.7500);278.0000;48.3000;28.5913;;
58208.2065;(-41.8600, 101.5123, -695.7500);284.6000;37.5000;28.7811;;
58208.2505;(-41.8600, 101.5123, -695.7500);291.0000;29.5000;28.9033;;
58208.2895;(-41.8600, 101.5123, -695.7500);303.1000;20.7000;28.1397;;
58208.3375;(-41.8600, 101.5123, -695.7500);310.1000;15.5000;27.8700;;
58208.3885;(-41.8600, 101.5123, -695.7500);314.6000;8.5000;26.9806;;
58208.4385;(-41.8600, 101.5123, -695.7500);320.0000;9.8000;26.0320;;
58208.4885;(-41.8600, 101.5123, -695.7500);320.3000;11.8000;25.2364;;
58208.5375;(-41.8600, 101.5123, -695.7500);319.8000;9.6000;24.6085;;
58208.5885;(-41.8600, 101.5123, -695.7500);321.2000;4.8000;24.0971;;
58208.6385;(-41.8600, 101.5123, -695.7500);321.4000;1.7000;23.5621;;
58208.6885;(-41.8600, 101.5123, -695.7500);321.7000;2.1000;23.1674;;
58208.7385;(-41.8600, 101.5123, -695.7500);323.1000;3.2000;22.7803;;
58208.7885;(-41.8600, 101.5123, -695.7500);323.8000;3.9000;22.5061;;
58208.8435;(-41.8600, 101.5123, -695.7500);324.4000;4.5000;22.2303;;
58208.8986;(-41.8600, 101.5123, -695.7500);324.6000;4.8000;21.7387;;
58208.9546;(-41.8600, 101.5123, -695.7500);324.6000;4.8000;21.3119;;
58209.0096;(-41.8600, 101.5123, -695.7500);324.6000;4.8000;20.9107;;
58209.0656;(-41.8600, 101.5123, -695.7500);324.5000;4.8000;20.5818;;
58209.1216;(-41.8600, 101.5123, -695.7500);321.9000;4.8000;20.2910;;
58209.1766;(-41.8600, 101.5123, -695.7500);317.9000;4.8000;19.9943;;
58209.2316;(-41.8600, 101.5123, -695.7500);317.5000;4.8000;19.8021;;
58209.2836;(-41.8600, 101.5123, -695.7500);314.9000;4.5000;19.6362;;
58209.3366;(-41.8600, 101.5123, -695.7500);311.3000;3.0000;19.5926;;
58209.3876;(-41.8600, 101.5123, -695.7500);306.9000;1.1000;19.5398;;
58209.4366;(-41.8600, 101.5123, -695.7500);301.9000;359.8000;19.5320;;
58209.4826;(-41.8600, 101.5123, -695.7500);299.9000;359.6000;19.5954;;
58209.5226;(-41.8600, 101.5123, -695.7500);299.6000;359.6000;19.8269;;
58209.5696;(-41.8600, 101.5123, -695.7500);298.8000;359.6000;20.2064;;
58209.6056;(-41.8600, 101.5123, -695.7500);296.2000;359.6000;20.3315;;
58209.6456;(-41.8600, 101.5123, -695.7500);293.8000;359.6000;20.9118;;
58209.6856;(-41.8600, 101.5123, -695.7500);292.2000;359.5000;21.2366;;
58209.7236;(-41.8600, 101.5123, -695.7500);290.5000;359.5000;21.5655;;
58209.7666;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;21.9844;;
58209.7996;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;22.0671;;
58209.8336;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;22.6628;;
58209.8676;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;23.2104;;
58209.9036;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;23.7102;;
58209.9386;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;24.0832;;
58209.9836;(-41.8600, 101.5123, -695.7500);290.0000;359.5000;24.4386;;
58210.0176;(-41.8600, 101.5123, -695.7500);289.7000;359.5000;24.2036;;
58210.0516;(-41.8600, 101.5123, -695.7500);288.7000;359.6000;24.6789;;
58210.0876;(-41.8600, 101.5123, -695.7500);287.8000;359.6000;25.0908;;
58210.1226;(-41.8600, 101.5123, -695.7500);286.7000;359.6000;25.2901;;
58210.1656;(-41.8600, 101.5123, -695.7500);285.4000;359.6000;25.6024;;
58210.1986;(-41.8600, 101.5123, -695.7500);283.3000;359.6000;25.3245;;
58210.2316;(-41.8600, 101.5123, -695.7500);282.5000;359.7000;25.7578;;
58210.2656;(-41.8600, 101.5123, -695.7500);281.9000;0.0000;26.1227;;
58210.2996;(-41.8600, 101.5123, -695.7500);280.6000;0.6000;26.4356;;
58210.3316;(-41.8600, 101.5123, -695.7500);278.8000;1.2000;26.7702;;
58210.3646;(-41.8600, 101.5123, -695.7500);274.8000;2.7000;27.0992;;
58210.3966;(-41.8600, 101.5123, -695.7500);270.5000;4.0000;27.4315;;
58210.4286;(-41.8600, 101.5123, -695.7500);265.6000;5.5000;27.7202;;
58210.4616;(-41.8600, 101.5123, -695.7500);259.9000;6.8000;28.0855;;
58210.4946;(-41.8600, 101.5123, -695.7500);253.5000;7.7000;28.2689;;
58210.5266;(-41.8600, 101.5123, -695.7500);247.9000;7.8000;28.4915;;
58210.5596;(-41.8600, 101.5123, -695.7500);242.7000;7.5000;28.6928;;
58210.5936;(-41.8600, 101.5123, -695.7500);238.3000;7.1000;28.8341;;
58210.6267;(-41.8600, 101.5123, -695.7500);236.4000;6.7000;28.9467;;
58210.6597;(-41.8600, 101.5123, -695.7500);236.1000;6.6000;29.0520;;
58210.6927;(-41.8600, 101.5123, -695.7500);236.1000;6.6000;29.1597;;
58210.7267;(-41.8600, 101.5123, -695.7500);236.1000;6.6000;29.2539;;
58210.7597;(-41.8600, 101.5123, -695.7500);236.1000;6.6000;29.3201;;
58210.7927;(-41.8600, 101.5123, -695.7500);236.1000;6.6000;29.3807;;
58210.8267;(-41.8600, 101.5123, -695.7500);235.6000;6.3000;29.4305;;
58210.8597;(-41.8600, 101.5123, -695.7500);234.4000;5.8000;29.4705;;
58210.8937;(-41.8600, 101.5123, -695.7500);233.5000;5.4000;29.5246;;
58210.9267;(-41.8600, 101.5123, -695.7500);233.5000;5.4000;29.5813;;
58210.9597;(-41.8600, 101.5123, -695.7500);233.5000;5.4000;29.6351;;
58210.9927;(-41.8600, 101.5123, -695.7500);233.5000;5.4000;29.6547;;
58211.0267;(-41.8600, 101.5123, -695.7500);236.3000;6.1000;29.7052;;
58211.0607;(-41.8600, 101.5123, -695.7500);245.0000;7.5000;29.6905;;
58211.0947;(-41.8600, 101.5123, -695.7500);257.6000;9.0000;29.7125;;
58211.1287;(-41.8600, 101.5123, -695.7500);266.1000;10.6000;29.6337;;
58211.1657;(-41.8600, 101.5123, -695.7500);274.2000;11.9000;29.6038;;
58211.1987;(-41.8600, 101.5123, -695.7500);280.2000;12.7000;29.3927;;
58211.2327;(-41.8600, 101.5123, -695.7500);280.7000;12.7000;29.4423;;
58211.2657;(-41.8600, 101.5123, -695.7500);280.7000;12.7000;29.4595;;
58211.2987;(-41.8600, 101.5123, -695.7500);280.7000;12.7000;29.5345;;
